103197.8;125185.2;110
107808.3;111489.7;91
92518.58;98027.54;93
80068.75;98274.79;104
97560.45;128452;117
93533.1;97903.89;71
105465.4;111031.7;85
103581.3;109069.9;73
82913.93;106719.1;91
114749.3;93182.47;47
69152.92;89318.94;73
76651.25;101019.4;59
85033.17;89029.84;36
99000.1;95122.07;34
107350.8;105820.8;24
95263.96;98585.11;26
110204.3;100714.9;30
110548.9;104181.4;32
116078.3;89461;22
128062.3;104517.7;28
130148.6;102972.8;28
96543.92;101899.9;47
87305.38;90809.69;45
99806.33;104769;43
116965.9;101440.8;46
78996.63;87243;48
87086.05;95416.29;59
113281.9;104672.6;58
103519.1;102271.3;56
135438.3;103567.9;49
106349.8;111031.3;70
110644.8;102882.1;65
94664.13;121788.3;101
90980.85;105228.1;99
102545;114407;103
121821.6;129676.5;109
145647.3;115160.8;82
143754.8;108358.1;85
168935.1;135743.5;88
125785.3;121518.2;97
103407.4;95927.21;105
99600.5;111304.5;125
106651.7;96013.79;
101673.5;102984.4;
123099.7;103358.1;
119102.7;125948.5;
101896.1;91143.04;
124413.5;107045.3;
125538.7;110561.7;
111693.3;110301.8;
112086.9;95005.36;
85283.17;103556;
